0.8 ms Current
----------------------------------------
Domain, Current
0.0,0.236111111111
0.0008,0.490740740741
0.0016,0.66049382716
0.0024,0.77366255144
0.0032,0.849108367627
0.004,0.899405578418
0.0048,0.932937052279
0.0056,0.955291368186
0.0064,0.970194245457
0.0072,0.980129496971
0.008,0.986752997981
0.0088,0.991168665321
0.0096,0.994112443547
0.0104,0.996074962365
0.0112,0.996074962365

0.8 ms Voltage
----------------------------------------
Domain, Voltage
0.0,7.63888888889
0.0008,5.09259259259
0.0016,3.3950617284
0.0024,2.2633744856
0.0032,1.50891632373
0.004,1.00594421582
0.0048,0.670629477214
0.0056,0.447086318143
0.0064,0.298057545428
0.0072,0.198705030286
0.008,0.13247002019
0.0088,0.0883133467936
0.0096,0.0588755645291
0.0104,0.0392503763527
0.0112,0.0392503763527

0.1 ms Current
----------------------------------------
Domain, Current
0.0,0.0362879238548
0.0001,0.0832982690327
0.0002,0.128015426641
0.0003,0.170551259488
0.0004,0.211012173659
0.0005,0.2494993847
0.0006,0.286109170812
0.0007,0.320933113699
0.0008,0.354058327665
0.0009,0.385567677535
0.001,0.415539985948
0.0011,0.444050230536
0.0012,0.471169731486
0.0013,0.49696632995
0.0014,0.521504557757
0.0015,0.544845798842
0.0016,0.567048442801
0.0017,0.588168030957
0.0018,0.608257395301
0.0019,0.627366790652
0.002,0.645544020376
0.0021,0.662834555967
0.0022,0.679281650798
0.0023,0.69492644832
0.0024,0.709808084988
0.0025,0.723963788159
0.0026,0.737428969224
0.0027,0.750237312189
0.0028,0.762420857936
0.0029,0.774010084378
0.003,0.785033982701
0.0031,0.795520129886
0.0032,0.805494757697
0.0033,0.814982818297
0.0034,0.824008046673
0.0035,0.832593020006
0.0036,0.840759214152
0.0037,0.848527057364
0.0038,0.855915981395
0.0039,0.862944470107
0.004,0.869630105712
0.0041,0.87598961275
0.0042,0.882038899933
0.0043,0.887793099937
0.0044,0.893266607257
0.0045,0.89847311422
0.0046,0.903425645233
0.0047,0.908136589368
0.0048,0.91261773135
0.0049,0.916880281041
0.005,0.920934901478
0.0051,0.924791735552
0.0052,0.928460431379
0.0053,0.931950166433
0.0054,0.93526967051
0.0055,0.938427247558
0.0056,0.941430796458
0.0057,0.944287830777
0.0058,0.947005497568
0.0059,0.949590595248
0.006,0.952049590602
0.0061,0.954388634962
0.0062,0.956613579598
0.0063,0.95872999035
0.0064,0.960743161552
0.0065,0.962658129281
0.0066,0.964479683951
0.0067,0.966212382294
0.0068,0.967860558768
0.0069,0.969428336389
0.007,0.970919637053
0.0071,0.972338191343
0.0072,0.973687547863
0.0073,0.974971082113
0.0074,0.976192004937
0.0075,0.97735337055
0.0076,0.978458084182
0.0077,0.979508909344
0.0078,0.980508474741
0.0079,0.981459280852
0.008,0.982363706176
0.0081,0.983224013192
0.0082,0.984042354012
0.0083,0.984820775767
0.0084,0.98556122573
0.0085,0.986265556182
0.0086,0.986935529051
0.0087,0.987572820317
0.0088,0.988179024204
0.0089,0.98875565717
0.009,0.989304161698
0.0091,0.989825909908
0.0092,0.990322206985
0.0093,0.99079429445
0.0094,0.991243353257
0.0095,0.991670506757
0.0096,0.9920768235
0.0097,0.992463319915
0.0098,0.992830962846
0.0099,0.993180671975
0.01,0.993513322123
0.0101,0.993513322123

0.1 ms Voltage
----------------------------------------
